pathway	external_id	source	hgnc_symbol_ids
Staphylococcus aureus infection - Homo sapiens (human)	path:hsa05150	KEGG	"CFB,FCGR3A,FCGR3B,C1QB,C5AR1,PTAFR,MASP2,FCGR1A,HLA-DMB,MBL2,HLA-DRA,SELPLG,ITGB2,HLA-DQB1,C4A,C4B,HLA-DRB3,C3,C2,DSG1,C5,HLA-DOA,FCAR,HLA-DPB1,FPR3,ICAM1,FPR1,FPR2,HLA-DRB1,FCGR2B,FCGR2C,HLA-DRB4,FCGR2A,C1S,HLA-DRB5,FGG,CFH,CFI,IL10,C3AR1,CFD,C1QC,MASP1,C1QA,PLG,ITGAL,ITGAM,HLA-DOB,KRT10,HLA-DPA1,C1R,SELP,HLA-DQA1,HLA-DQA2,HLA-DMA"
Calcium signaling pathway - Homo sapiens (human)	path:hsa04020	KEGG	"AVPR1B,CD38,AVPR1A,PPP3R2,PPP3R1,LTB4R2,PTGFR,CAMK2G,TNNC1,TNNC2,CACNA1H,CACNA1I,CALM2,CALM3,CALM1,RYR1,CACNA1A,RYR3,RYR2,CACNA1D,PTGER1,CACNA1F,CACNA1G,HTR2A,GRIN1,CACNA1S,ERBB2,ERBB3,ERBB4,CAMK2D,HTR2B,SLC25A6,SLC25A5,SLC25A4,HTR6,HTR7,HTR4,ADCY7,ATP2B1,ATP2B3,ATP2B2,ATP2B4,ADCY1,ADRA1A,ADRA1B,ADRA1D,ADCY2,ADCY3,ADCY8,ADCY9,GRM1,F2R,PLCE1,HTR5A,ATP2A1,ATP2A2,ORAI3,MYLK,TRHR,ORAI1,SLC25A31,EDNRA,EDNRB,CYSLTR2,CYSLTR1,CCKBR,ADORA2A,ADORA2B,PRKACG,ITPKA,PTK2B,ITPKB,HRH2,HTR2C,HRH1,GRM5,PHKG2,PHKG1,ORAI2,PLCB1,PLCB2,PLCB3,PLCB4,PRKACB,PHKA1,PHKA2,PRKCG,PPIF,ITPR2,ITPR3,ITPR1,TACR3,TACR2,TACR1,GNAQ,GNAS,CALML3,CALML6,CALML5,CALML4,GNAL,AGTR1,CACNA1B,PDGFRB,PDGFRA,CACNA1C,STIM1,PLCZ1,SPHK1,CACNA1E,PTAFR,VDAC3,VDAC2,VDAC1,PTGER3,ATP2A3,SLC8A1,SLC8A3,SLC8A2,TBXA2R,ITPKC,MYLK4,MYLK2,MYLK3,PLCD4,CHRNA7,PLCD3,PLCD1,NTSR1,BDKRB1,CAMK4,BDKRB2,CCKAR,ADRB1,ADRB2,ADRB3,PRKACA,OXTR,PLN,SPHK2,STIM2,EGFR,PLCG2,PLCG1,P2RX1,P2RX3,P2RX2,P2RX5,P2RX4,P2RX7,P2RX6,PDE1C,PDE1B,PDE1A,PHKB,GRIN2A,NOS1,NOS2,NOS3,LHCGR,PRKCA,CHRM5,PRKCB,CHRM3,CHRM2,CHRM1,CAMK2A,CAMK2B,GRPR,MCU,ADCY4,DRD5,DRD1,GRIN2C,GNA14,GNA15,GRIN2D,GNA11,PPP3CA,PPP3CB,PPP3CC"
Synthesis and degradation of ketone bodies - Homo sapiens (human)	path:hsa00072	KEGG	"HMGCS1,HMGCS2,HMGCL,OXCT2,ACAT1,ACAT2,OXCT1,HMGCLL1,BDH2,BDH1"
Toll-like receptor signaling pathway - Homo sapiens (human)	path:hsa04620	KEGG	"IFNAR2,AKT1,AKT2,IFNAR1,IKBKG,IKBKE,LBP,MAP3K8,LY96,PIK3CA,PIK3CB,PIK3CD,MAP3K7,PIK3CG,FADD,IFNA13,RELA,IFNA10,IFNA17,IFNA16,IRAK4,IFNA14,CTSK,IFNA8,CXCL11,CXCL10,IKBKB,CXCL9,CXCL8,TLR2,TLR3,AKT3,TLR6,TLR7,TLR4,CCL4L1,TLR8,TLR9,CCL3L3,CCL4L2,CCL3L1,CCL3,CCL4,CCL5,NFKBIA,TIRAP,JUN,PIK3R5,TLR1,PIK3R3,PIK3R2,PIK3R1,MYD88,FOS,TLR5,CHUK,IRF3,IRF7,TBK1,TOLLIP,CD14,MAPK14,MAPK10,MAPK11,MAPK12,MAPK13,IL1B,CD86,TICAM1,TICAM2,STAT1,CD80,IFNB1,MAPK3,MAPK1,NFKB1,MAPK8,MAPK9,MAP2K3,IRAK1,IRF5,IFNA2,IFNA1,IFNA7,IFNA6,IFNA5,IFNA4,IL6,IFNA21,SPP1,IL12B,IL12A,RIPK1,MAP2K2,MAP2K1,MAP2K7,MAP2K6,MAP2K4,TRAF3,TRAF6,RAC1,CD40,TNF,TAB2,TAB1,CASP8"
NOD-like receptor signaling pathway - Homo sapiens (human)	path:hsa04621	KEGG	"BCL2L1,IKBKB,CASP12,IFNAR1,IKBKG,IKBKE,TYK2,TMEM173,SUGT1,GSDMD,MAP3K7,GABARAP,HSP90AB1,OAS3,OAS2,FADD,IFNA13,RELA,IFNA10,IFNA17,IFNA16,IRAK4,TRPV2,CTSB,ATG5,NAIP,RNASEL,CXCL2,OAS1,CXCL1,IFNAR2,CXCL3,MYD88,CXCL8,MEFV,TLR4,TRIP6,MAPK1,MAVS,CCL2,CCL5,NFKBIB,NFKBIA,NOX1,TXNIP,NOX3,CARD18,VDAC2,DHX33,IL1B,NEK7,TANK,JUN,CARD9,CARD8,JAK1,TRPM7,CARD6,TRPM2,PLCB1,PLCB2,PLCB3,PLCB4,GBP3,GBP2,GBP1,BRCC3,CHUK,GBP5,GBP4,ATG12,ITPR2,ITPR3,RHOA,ITPR1,IRF3,IRF7,NLRP3,ERBIN,IRF9,TNFAIP3,CYBA,RBCK1,TP53BP1,PRKCD,NAMPT,MAPK14,XIAP,MAPK10,MAPK11,MAPK12,MAPK13,VDAC3,PANX1,VDAC1,NLRX1,TICAM1,NLRP7,NLRP6,NLRP1,STAT2,STAT1,IFNB1,MAPK3,IFI16,TBK1,CASR,NFKB1,MAPK8,MAPK9,AIM2,TXN2,IL18,IFNA8,IFNA2,IFNA1,IFNA7,IFNA6,IFNA5,IFNA4,IL6,MFN2,MFN1,IFNA21,HSP90AA1,IFNA14,ANTXR1,ANTXR2,BIRC3,BIRC2,RIPK1,RIPK3,RIPK2,NLRP12,NLRC4,P2RX7,RNF31,TXN,GABARAPL1,GABARAPL2,ATG16L1,CARD16,CAMP,PSTPIP1,NOD1,NOD2,PYCARD,TRAF2,TRAF3,TRAF5,TRAF6,CARD17,PYDC2,PYDC1,CYBB,TNF,GBP7,GPRC6A,CASP4,CASP5,CASP1,TAB3,TAB2,TAB1,CASP8,DNM1L,MCU,SHARPIN,BCL2"
cAMP signaling pathway - Homo sapiens (human)	path:hsa04024	KEGG	"FXYD2,FXYD1,MC2R,RAPGEF4,AKT1,AKT2,AKT3,RAPGEF3,BDNF,MYL9,CALM2,CALM3,CALM1,CNGB1,PIK3CA,PIK3CB,RYR2,PIK3CD,CAMK4,PTGER2,PTGER3,GLI1,GLP1R,RELA,CACNA1S,CREB3L1,NPR1,LIPE,CAMK2D,ATP1B4,CAMK2G,ATP1B2,CALML3,CAMK2B,ATP1B1,HTR6,HTR4,ATP2B1,ATP2B3,ATP2B2,ATP2B4,ADCY1,ADCY4,ADCY5,ADCY6,ADCY7,PLD1,PLD2,ADCY3,HCN2,ADCY8,ADCY9,F2R,NPY,GPR119,PLCE1,CFTR,HHIP,NFATC1,ACOX1,ATP2A2,ADORA1,GRIA3,NFKBIA,GRIA4,HCN4,RRAS,TSHR,GABBR2,ATP1A4,ADCY2,ADORA2A,PPP1R1B,SLC9A1,RAF1,JUN,PRKACG,TIAM1,PIK3R5,NPY1R,PIK3R3,PIK3R2,PIK3R1,GABBR1,PRKACA,ORAI1,FOS,PRKACB,HCAR3,HCAR2,HCAR1,CNGA3,CNGA4,PLN,RHOA,ATP1B3,CNGA1,VAV1,VAV3,VAV2,CNGA2,CALML5,CALML4,CNGB3,CREBBP,CACNA1C,GHRL,CACNA1D,PPARA,RAP1B,RAP1A,MAPK10,CACNA1F,ADCY10,PIK3CG,GNAI2,GNAI3,GNAI1,MAPK3,PDE3A,PDE3B,GRIA2,MAPK1,PPP1R12A,NFKB1,MAPK8,MAPK9,SUCNR1,RRAS2,GHSR,EP300,GRIN1,CREB3L4,ACOX3,AFDN,MAP2K1,SSTR1,ADRB1,ADRB2,SSTR2,SSTR5,ATP1A2,ATP1A1,OXTR,PDE4A,PDE4B,PDE4C,PDE4D,GNAS,AMH,CALML6,MAP2K2,BAD,SOX9,FSHB,EDNRA,GIPR,ADCYAP1R1,GRIN2B,ARAP3,GRIN2C,ATP1A3,GRIN3A,GLI3,GRIN3B,VIPR2,TNNI3,FSHR,CREB5,PAK1,RAC2,RAC3,RAC1,CREB3,CHRM2,CHRM1,CAMK2A,ABCC4,CREB1,FFAR2,PPP1CB,PPP1CC,PPP1CA,DRD5,DRD2,ROCK1,ROCK2,DRD1,CREB3L2,CREB3L3,GRIN2A,GRIA1,BRAF,GRIN2D,HTR1D,HTR1E,HTR1F,PTCH1,HTR1A,HTR1B"
Proximal tubule bicarbonate reclamation - Homo sapiens (human)	path:hsa04964	KEGG	"PCK2,PCK1,FXYD2,SLC4A4,MDH1,GLS,SLC25A10,SLC9A3,SLC38A3,AQP1,ATP1B4,ATP1B2,ATP1B3,ATP1B1,CA2,GLUD2,GLUD1,CA4,ATP1A4,ATP1A3,ATP1A2,ATP1A1,GLS2"
Mismatch repair - Homo sapiens (human)	path:hsa03430	KEGG	"RFC5,RFC4,MSH2,MSH3,RFC1,RFC3,RFC2,EXO1,MLH3,MLH1,POLD1,POLD2,POLD3,POLD4,LIG1,PCNA,MSH6,SSBP1,PMS2,RPA4,RPA1,RPA3,RPA2"
VEGF signaling pathway - Homo sapiens (human)	path:hsa04370	KEGG	"SPHK2,NFATC2,PTK2,PPP3R2,PPP3R1,PTGS2,PIK3CD,HRAS,SPHK1,MAP2K1,MAPK14,AKT1,BAD,AKT3,MAPK11,MAPK12,MAPK13,MAPKAPK3,MAPKAPK2,PIK3CA,PIK3CB,RAC1,NRAS,PIK3CG,MAPK3,PIK3R5,MAPK1,PIK3R3,PIK3R2,PIK3R1,PLA2G4D,KDR,PXN,SRC,NOS3,RAC2,RAC3,SHC2,HSPB1,PRKCA,PLA2G4E,PRKCB,PRKCG,SH2D2A,VEGFA,PLA2G4C,PLA2G4B,PLA2G4A,PLA2G4F,RAF1,KRAS,PLCG2,JMJD7-PLA2G4B,AKT2,PLCG1,CASP9,MAP2K2,PPP3CA,PPP3CB,PPP3CC,CDC42"
Estrogen signaling pathway - Homo sapiens (human)	path:hsa04915	KEGG	"HSPA2,HSPA6,ADCY5,HSPA8,GPER1,AKT1,AKT2,AKT3,CALM2,CALM3,CALM1,PIK3CA,PIK3CB,PIK3CD,PIK3CG,HSP90AB1,SHC4,SHC1,SHC2,SHC3,SP1,CREB5,CREB3,CREB1,KRAS,ADCY4,FKBP4,ADCY6,ADCY7,ADCY1,ADCY2,FKBP5,ADCY3,ADCY8,ADCY9,GRB2,GNAO1,HRAS,HSP90B1,GABBR1,GABBR2,RAF1,JUN,PIK3R5,PIK3R3,PIK3R2,PIK3R1,GRM1,PLCB1,PLCB2,PLCB3,PLCB4,FOS,ITPR2,ITPR3,ITPR1,ESR2,GNAQ,ESR1,CALML3,CALML6,CALML5,CALML4,SOS2,GNAI2,GNAI3,GNAI1,MAPK3,HBEGF,MAPK1,SOS1,SRC,OPRM1,KCNJ3,KCNJ6,KCNJ5,MAP2K2,KCNJ9,GNAS,MAP2K1,PRKACG,PRKACA,PRKACB,HSP90AA1,EGFR,HSPA1B,HSPA1A,HSPA1L,NRAS,NOS3,PRKCD,CREB3L2,CREB3L3,CREB3L1,CREB3L4,MMP9,ATF4,ATF6B,MMP2,ATF2"
Vascular smooth muscle contraction - Homo sapiens (human)	path:hsa04270	KEGG	"AVPR1B,AVPR1A,ACTG2,MYL6,ARAF,MYL9,CALM2,CALM3,CALM1,CACNA1C,CACNA1D,CACNA1F,ARHGEF1,PLA2G6,KCNU1,PLA2G3,CACNA1S,NPR1,NPR2,RAMP1,KCNMB3,RAMP3,RAMP2,ADCY7,ADRA1D,ADCY4,ADCY5,ADCY6,ADRA1B,KCNMB4,ADCY2,ADCY3,ADCY8,ADCY9,GUCY1B3,MAPK1,ADCY1,ACTA2,MYLK,PLA2G1B,EDNRA,ADORA2A,ADORA2B,PLA2G12B,PLA2G12A,KCNMA1,GUCY1A3,GUCY1A2,PRKG1,PPP1R14A,PLCB1,PLCB2,PLCB3,PLCB4,ITPR2,ITPR3,RHOA,ITPR1,PLA2G10,GNAQ,GNAS,CALML3,CALML6,CALML5,CALML4,KCNMB1,AGTR1,MYH11,PRKCQ,RAF1,MAPK3,PLA2G5,PPP1R12A,PPP1R12B,PPP1R12C,MYLK4,MYLK2,MYLK3,PLA2G2A,PLA2G2C,KCNMB2,PLA2G2E,PLA2G2D,PLA2G2F,PPP1CB,JMJD7-PLA2G4B,PRKACG,PRKACA,PRKACB,MYL6B,ARHGEF11,ADRA1A,ARHGEF12,MAP2K2,MAP2K1,MRVI1,CYP4A22,GNA13,PRKCH,CALCRL,PRKCA,PRKCB,PRKCE,PRKCD,PRKCG,PTGIR,PLA2G4C,PLA2G4B,PLA2G4A,CALD1,PLA2G4F,PLA2G4E,PLA2G4D,CYP4A11,PPP1CC,PPP1CA,ROCK1,ROCK2,GNA12,BRAF,GNA11"
"Glycine, serine and threonine metabolism - Homo sapiens (human)"	path:hsa00260	KEGG	"GRHPR,AOC2,GNMT,BPGM,SDS,AGXT,PGAM1,AOC3,AGXT2,PGAM4,GAMT,PGAM2,DMGDH,GCAT,CTH,CBSL,BHMT,ALAS1,GLDC,DAO,GATM,ALAS2,AMT,DLD,SRR,PHGDH,ALDH7A1,CHDH,SHMT2,SHMT1,SDSL,PIPOX,PSPH,GLYCTK,PSAT1,MAOB,MAOA,SARDH,CBS,GCSH"
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	path:hsa00980	KEGG	"EPHX1,ALDH3B2,GSTA4,GSTA5,ALDH3A1,UGT2A3,UGT2A2,UGT2A1,GSTA3,MGST2,UGT1A4,MGST1,DHDH,UGT1A9,ADH6,CYP2S1,UGT1A5,UGT1A6,UGT1A7,UGT1A1,ALDH1A3,AKR7A3,CYP1B1,CYP2D6,CYP2F1,CYP2B6,CBR3,AKR1C1,UGT2B15,UGT2B17,UGT2B10,UGT2B11,UGT2B28,GSTA2,CBR1,UGT2B4,SULT2A1,UGT2B7,ALDH3B1,CYP2A13,GSTA1,AKR7A2,ADH4,CYP2A6,UGT1A10,GSTT2B,CYP3A4,CYP3A5,HPGDS,GSTT2,CYP2C9,CYP1A1,CYP1A2,GSTO1,ADH7,GSTT1,ADH5,MGST3,GSTM1,GSTM2,GSTM3,GSTM4,GSTM5,CYP2E1,GSTP1,GSTO2,ADH1B,ADH1A,UGT1A3,UGT1A8,HSD11B1,ADH1C,GSTK1"
Drug metabolism - other enzymes - Homo sapiens (human)	path:hsa00983	KEGG	"UGT2A3,UGT2A2,UGT2A1,UGT1A4,UGT1A8,UGT1A9,UPB1,UGT1A5,UGT1A6,UGT1A7,UGT1A1,UGT1A3,UGT1A10,DPYD,HPRT1,IMPDH1,IMPDH2,XDH,DPYS,UGT2B15,UGT2B17,UGT2B10,UGT2B11,GUSB,UGT2B7,UGT2B4,UCK2,UMPS,UCK1,NAT2,NAT1,TPMT,CES1,CES2,TK2,CYP2A6,TK1,CYP3A4,GMPS,UPP2,UPP1,CDA,UCKL1,ITPA,TYMP,UGT2B28"
Drug metabolism - cytochrome P450 - Homo sapiens (human)	path:hsa00982	KEGG	"AOX1,GSTT2,UGT2B7,GSTA4,GSTA5,ALDH3A1,UGT2A3,UGT2A2,UGT2A1,GSTA3,MGST2,MGST3,MGST1,UGT1A8,UGT1A9,UGT1A4,UGT1A5,UGT1A6,UGT1A7,UGT1A1,UGT1A3,CYP2D6,CYP2B6,MAOA,UGT2B15,UGT2B17,UGT2B10,UGT2B11,ADH1C,GSTA2,ALDH1A3,GSTO2,FMO2,FMO3,UGT2B4,FMO1,FMO4,FMO5,GSTA1,ALDH3B2,ADH4,CYP2A6,UGT1A10,GSTT2B,CYP3A4,CYP3A5,HPGDS,ADH6,CYP2C9,CYP2C8,CYP1A2,GSTO1,ADH7,ADH5,GSTT1,ALDH3B1,GSTM1,GSTM2,GSTM3,GSTM4,GSTM5,CYP2E1,MAOB,GSTP1,CYP2C19,ADH1B,ADH1A,UGT2B28,GSTK1"
Endocrine and other factor-regulated calcium reabsorption - Homo sapiens (human)	path:hsa04961	KEGG	"PTH1R,VDR,FXYD2,CLTC,DNM2,CLTA,DNM3,CLTB,AP2B1,TRPV5,RAB11A,AP2S1,AP2M1,SLC8A1,ATP1A3,PLCB1,PLCB2,PLCB3,PLCB4,PRKCA,ATP1B4,PRKCB,ATP1B2,ATP1B3,CALB1,ATP1B1,KLK1,KLK2,AP2A1,PRKCG,AP2A2,ATP2B1,CLTCL1,ADCY6,BDKRB2,GNAQ,ESR1,GNAS,ADCY9,KL,PRKACG,ATP1A4,PRKACA,ATP1A2,ATP1A1,PRKACB,DNM1"
Oxidative phosphorylation - Homo sapiens (human)	path:hsa00190	KEGG	"MT-CO1,MT-CO2,MT-CO3,NDUFB9,NDUFB8,NDUFB7,NDUFB6,NDUFB5,NDUFB4,NDUFB3,NDUFB2,NDUFB1,UQCRQ,UQCRH,UQCRB,NDUFAB1,MT-ND1,MT-ND2,MT-ND3,MT-ND4,MT-ND5,MT-ND6,NDUFC2-KCTD14,ATP6AP1,NDUFB11,NDUFB10,ATP5J2,NDUFA10,NDUFA11,NDUFA12,NDUFA13,ATP6V0D2,ATP6V0D1,COX6A1,ATP6V1B2,COX6A2,UQCRFS1,ATP5G2,UQCRC2,UQCRC1,ATP6V1D,ATP6V1F,ATP6V1A,ATP6V1H,COX8C,COX6B1,COX6B2,COX7B2,ATP5C1,MT-ND4L,UQCRHL,COX6C,MT-CYB,COX8A,COX7A1,COX7A2,TCIRG1,ATP6V1G3,ATP6V0A1,ATP6V1G1,COX10,COX11,COX15,COX17,ATP5J,ATP5I,ATP5H,ATP5O,PPA2,PPA1,ATP5L,ATP5B,ATP5E,ATP5D,NDUFV3,NDUFV2,NDUFV1,ATP5A1,MT-ATP8,NDUFA6,NDUFA7,NDUFA4,NDUFA5,NDUFA2,NDUFA3,NDUFA1,NDUFA8,NDUFA9,COX4I2,COX4I1,MT-ATP6,ATP6V1E1,ATP6V1E2,COX7B,COX7C,ATP5F1,ATP6V0B,COX5A,COX5B,ATP6V0C,UQCR10,UQCR11,SDHC,ATP6V0A4,LHPP,ATP6V1B1,NDUFA4L2,ATP5G1,ATP5G3,ATP6V1G2,NDUFC1,NDUFC2,ATP6V0A2,NDUFS8,ATP6V1C2,ATP12A,ATP6V1C1,COX7A2L,ATP4A,ATP4B,CYC1,NDUFS1,NDUFS2,NDUFS3,NDUFS4,NDUFS5,NDUFS6,NDUFS7,SDHA,ATP6V0E1,ATP6V0E2,SDHB,SDHD"
Vitamin B6 metabolism - Homo sapiens (human)	path:hsa00750	KEGG	"AOX1,PDXK,PSAT1,PHOSPHO2,PDXP,PNPO"
DNA replication - Homo sapiens (human)	path:hsa03030	KEGG	"POLA2,POLA1,RFC5,RFC4,RFC1,RFC3,RFC2,POLE,FEN1,DNA2,POLD1,POLD2,POLD3,POLD4,LIG1,PRIM2,PRIM1,PCNA,RNASEH1,MCM7,MCM6,MCM5,MCM4,MCM3,MCM2,SSBP1,RNASEH2A,RNASEH2C,RNASEH2B,RPA4,RPA1,RPA3,RPA2,POLE4,POLE3,POLE2"
alpha-Linolenic acid metabolism - Homo sapiens (human)	path:hsa00592	KEGG	"PLB1,PLA2G1B,PLA2G12B,PLA2G12A,PLA2G6,ACAA1,PLA2G5,PLA2G3,PLA2G2A,PLA2G2C,PLA2G2E,PLA2G2D,PLA2G2F,PLA2G4C,PLA2G4B,PLA2G4A,FADS2,PLA2G4F,PLA2G4E,PLA2G4D,PLA2G16,PLA2G10,JMJD7-PLA2G4B,ACOX3,ACOX1"
Renin secretion - Homo sapiens (human)	path:hsa04924	KEGG	"PPP3R2,PPP3R1,NPR1,ADORA1,CACNA1D,KCNMA1,PLCB3,REN,PTGER2,ADCYAP1,CLCA2,EDNRA,CLCA1,GNAI2,GNAI3,CLCA4,GNAI1,PTGER4,AGT,CALM2,CALM3,CALM1,PDE1C,PDE1B,PDE1A,CACNA1C,PDE3A,PRKACG,CACNA1F,PDE3B,GUCY1A3,GUCY1A2,ADCY5,PRKG2,CACNA1S,PLCB1,PLCB2,ORAI1,PLCB4,AQP1,CTSB,PRKACB,CREB1,ITPR2,ITPR3,ITPR1,AGTR1,ACE,KCNJ2,ADCY6,GNAQ,GNAS,CALML3,ADCYAP1R1,CALML6,CALML5,CALML4,ADRB1,ADRB2,ADRB3,PRKACA,GUCY1B3,PPP3CA,PPP3CB,PPP3CC"
Linoleic acid metabolism - Homo sapiens (human)	path:hsa00591	KEGG	"CYP2J2,PLA2G2F,ALOX15,PLA2G1B,CYP3A4,PLA2G12B,PLA2G12A,PLA2G6,PLA2G5,PLA2G3,PLA2G16,PLA2G2A,PLA2G2C,PLA2G2E,PLA2G2D,PLB1,PLA2G4C,PLA2G4B,PLA2G4A,PLA2G4F,PLA2G4E,PLA2G4D,CYP2C9,CYP2C8,CYP1A2,PLA2G10,JMJD7-PLA2G4B,CYP2E1,CYP2C19"
Tuberculosis - Homo sapiens (human)	path:hsa05152	KEGG	"PPP3R2,PPP3R1,PLK3,CASP10,AKT1,AKT2,AKT3,FCGR1A,LSP1,MRC1,MRC2,CTSS,CALM2,CALM3,CALM1,ATP6AP1,FADD,IRAK2,JAK2,RELA,IRAK1,IFNA17,HSPA9,IRAK4,IFNA14,HLA-DPB1,ARHGEF12,RAB5A,RAB5C,RAB5B,CAMK2D,HLA-DRB3,HLA-DRB1,CTSD,CAMK2A,CREB1,HLA-DRB5,PIK3C3,SYK,RFX5,CAMK2B,TLR2,TLR1,TLR6,CAMK2G,TLR4,TLR9,ATP6V0A4,RFXANK,VDR,IL10RA,IL10RB,ATP6V1H,IFNA6,CD209,IFNGR1,IFNGR2,IFNA16,TIRAP,IFNA10,CARD9,HLA-DQB1,CYP27B1,JAK1,IFNG,KSR1,MYD88,RAB7A,LBP,RHOA,RFXAP,ITGAX,CR1,TNFRSF1A,CALML3,CORO1A,CALML6,CALML5,CALML4,TCIRG1,CD14,ATP6V0A1,ATP6V0A2,CREBBP,CD74,TGFB1,SPHK1,MAPK14,MAPK10,MAPK11,MAPK12,MAPK13,IL1A,IL1B,RAF1,FCER1G,STAT1,CIITA,TRADD,IFNB1,MAPK3,MAPK1,C3,NFKB1,MAPK8,MAPK9,APAF1,ATP6V0B,SRC,PLA2R1,IFNA13,BAX,LAMP1,ATP6V0D2,EP300,ATP6V0D1,IL18,IFNA8,IL10,IFNA2,IFNA1,IFNA7,NFYA,IFNA5,IFNA4,IL6,IFNA21,HLA-DOA,HLA-DOB,HLA-DPA1,SPHK2,TGFB2,TGFB3,IL23A,ATP6V0C,FCGR3A,IL12B,IL12A,FCGR3B,NFYC,NFYB,BAD,RIPK2,CYCS,CEBPB,HLA-DRA,CEBPG,EEA1,BID,CAMP,HSPD1,NOD2,MALT1,ITGAM,NOS2,ITGB2,TRAF6,FCGR2B,FCGR2C,FCGR2A,TNF,HLA-DRB4,LAMP2,BCL10,CLEC4M,PPP3CC,CASP3,CLEC4E,CLEC7A,CASP8,CASP9,PPP3CA,PPP3CB,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQA2,BCL2"
Terpenoid backbone biosynthesis - Homo sapiens (human)	path:hsa00900	KEGG	"DHDDS,IDI1,IDI2,GGPS1,PCYOX1,ACAT1,ACAT2,NUS1,HMGCS1,HMGCS2,FNTA,FNTB,PDSS2,PDSS1,MVD,HMGCR,MVK,ICMT,FDPS,PMVK,ZMPSTE24,RCE1"
Collecting duct acid secretion - Homo sapiens (human)	path:hsa04966	KEGG	"ATP6V1D,ATP6V1F,ATP6V1A,SLC4A1,CLCNKB,ATP6V0A4,ATP6V1C1,SLC12A7,ATP6V0D2,ATP6V0D1,ATP6V0A1,ATP6V0C,ATP6V0A2,ATP6V0E1,ATP6V1B2,ATP4A,ATP4B,ATP6V1B1,CA2,ATP6V1E1,ATP6V1E2,TCIRG1,ATP6V1G3,ATP6V1G2,ATP6V1G1,ATP6V1C2,ATP6V0E2"
Th17 cell differentiation - Homo sapiens (human)	path:hsa04659	KEGG	"PPP3R2,PPP3R1,TBX21,IL6ST,IL21,IL22,IKBKG,TYK2,RARA,IL12RB1,RORC,RORA,HSP90AB1,JAK2,RELA,HLA-DPB1,IFNG,HLA-DRB3,HLA-DRB1,HLA-DRB4,HLA-DRB5,GATA3,CD4,AHR,RUNX1,LAT,CD3D,CD3E,CD3G,NFATC1,NFATC2,NFATC3,NFKBIB,NFKBIA,HIF1A,NFKBIE,IFNGR1,IFNGR2,IL1R1,JUN,IL4,HLA-DQB1,JAK3,JAK1,IL4R,FOS,CHUK,IRF4,LCK,FOXP3,SMAD4,SMAD2,SMAD3,MAPK14,MAPK10,MAPK11,MAPK12,MAPK13,IL1B,STAT6,STAT3,STAT1,MAPK3,MAPK1,IKBKB,NFKB1,MAPK8,MAPK9,IL17D,TGFBR2,IL17F,IL17A,RXRG,RXRA,RXRB,IL6R,MTOR,IL2RA,IL2RB,IL2RG,IL21R,IL6,STAT5B,STAT5A,IL2,HLA-DOA,HLA-DOB,HLA-DPA1,HSP90AA1,TGFB1,IL23A,TGFBR1,PLCG1,CD247,IL23R,HLA-DRA,ZAP70,IL1RAP,PRKCQ,IL27RA,PPP3CA,PPP3CB,PPP3CC,HLA-DMB,HLA-DQA1,HLA-DQA2,HLA-DMA"
Th1 and Th2 cell differentiation - Homo sapiens (human)	path:hsa04658	KEGG	"PPP3R2,PPP3R1,TBX21,IKBKB,IKBKG,TYK2,IL12RB1,RBPJ,IL12RB2,JAK2,RELA,HLA-DPB1,RBPJL,IFNG,HLA-DRB3,HLA-DRB1,HLA-DRB4,HLA-DRB5,GATA3,MAPK14,RUNX3,MAF,LAT,CD3D,CD3E,CD3G,NFATC1,NFATC2,NFATC3,NFKBIB,NFKBIA,NFKBIE,IFNGR1,IFNGR2,MAML2,MAML3,MAML1,JUN,IL4,HLA-DQB1,JAK3,JAK1,IL4R,FOS,CHUK,LCK,CD4,MAPK10,MAPK11,MAPK12,MAPK13,STAT6,STAT4,STAT1,MAPK3,MAPK1,NFKB1,MAPK8,MAPK9,DLL1,DLL3,DLL4,IL2RA,IL2RB,IL2RG,IL13,STAT5B,STAT5A,IL5,IL2,HLA-DOA,HLA-DOB,HLA-DPA1,IL12B,IL12A,PLCG1,CD247,HLA-DRA,ZAP70,JAG2,JAG1,PRKCQ,NOTCH1,NOTCH2,NOTCH3,PPP3CA,PPP3CB,PPP3CC,HLA-DMB,HLA-DQA1,HLA-DQA2,HLA-DMA"
