ComplexName	GO description	FunCat description	subunits(Gene name)
Y14-Magoh complex	"mRNA processing (splicing, 5'-, 3'-end processing);RNA transport;nuclear transport;cytoplasm;nucleus"	"mRNA splicing, via spliceosome;mRNA processing;RNA transport;RNA transmembrane transporter activity;nuclear transport;cytoplasm;nucleus"	MAGOH;RBM8A;
Dysferlin-affixin complex	eukaryotic plasma membrane;myogenesis;striated muscle	plasma membrane organization;skeletal muscle tissue development;striated muscle tissue development	DYSF;PARVB;
"SNARE complex (Stx6, Snap29)"	vesicle fusion;synaptic vesicle exocytosis;Golgi	vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis;Golgi apparatus	STX6;SNAP29;
Cask-Grip1-Prkce-Rgs4-Gria2 complex	metabolism of neurotransmitters	neurotransmitter metabolic process	PRKCE;GRIA2;RGS4;GRIP1;CASK;
Cask-Grip1-Gria2-Mint1 complex	metabolism of neurotransmitters	neurotransmitter metabolic process	APBA1;GRIA2;GRIP1;CASK;
NdpkA-Ampkalpha1 complex	protein binding;cytoplasm	protein binding;cytoplasm	PRKAA1;NME1;
TREX complex	RNA binding;RNA transport;nuclear transport;nuclear matrix;nuclear speckles	RNA binding;RNA transport;RNA transmembrane transporter activity;nuclear transport;nuclear matrix;nuclear speck	THOC5;DDX39B;THOC7;ALYREF;THOC6;THOC2;THOC1;THOC3;
NDPKA-AMPKalpha1 complex	protein binding;cytoplasm	protein binding;cytoplasm	NME1;PRKAA1;
EIF4A3-MLN51 complex	control of mRNA stability	regulation of mRNA stability	CASC3;EIF4A3;
THO complex	RNA binding;nuclear speckles	RNA binding;nuclear speck	THOC5;THOC7;THOC6;THOC2;THOC1;
CBC complex (cap binding complex)	RNA binding;RNA transport;nuclear transport;nucleus	RNA binding;RNA transport;RNA transmembrane transporter activity;nuclear transport;nucleus	NCBP2;NCBP1;
Plp1-Calr-Itgav complex	integrin receptor signalling pathway;glia cell	integrin-mediated signaling pathway;glial cell differentiation	CALR;ITGAV;PLP1;
LARC complex (LCR-associated remodeling complex)	"DNA conformation modification (e.g. chromatin);transcriptional control;modification by acetylation, deacetylation;DNA binding;organization of chromosome structure;nucleus"	"DNA topological change;regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;protein acetylation;protein deacetylation;DNA binding;chromosome organization;nucleus"	ARID1A;MTA2;MBD3;ACTL6A;HNRNPC;SMARCA4;ACTB;RBBP4;SMARCB1;HDAC1;CHD4;SMARCC2;GATAD2B;HDAC2;DPF2;SMARCC1;SMARCD2;SMARCE1;MBD2;
"K(ATP) macromolecular complex (Kir6.2, Pkm2, Gapdh, Tpi1)"	"REGULATION OF METABOLISM AND PROTEIN FUNCTION;cation transport (H+, Na+, K+, Ca2+ , NH4+, etc.);ion channels;eukaryotic plasma membrane / membrane attached"	regulation of biological process;cation transmembrane transporter activity;cation transport;ion channel activity;plasma membrane	GAPDH;PKM;TPI1;KCNJ11;
URI complex (Unconventional prefoldin RPB5 Interactor)	transcriptional control;nutrient starvation response	"regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;response to starvation;phosphatidylinositol-mediated signaling"	URI1;POLR2E;SKP1;SKP2;CUL1;PFDN2;STAP1;RUVBL2;RUVBL1;
Itch-Fam/Usp9x complex	"modification by ubiquitination, deubiquitination;protein binding;REGULATION OF METABOLISM AND PROTEIN FUNCTION"	protein ubiquitination;protein deubiquitination;protein binding;regulation of biological process	USP9X;ITCH;
SMG-1-UPF-ERF1-ERF3 complex (SURF)	None	"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay"	GSPT1;ETF1;UPF1;SMG1;
MR-UBC9-SRC1 complex	transcriptional control;nucleus	"regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;nucleus"	NR3C2;PPP3CA;NCOA1;
NuA4/Tip60-HAT complex B	"organization of chromosome structure;DNA repair;DNA conformation modification (e.g. chromatin);modification by acetylation, deacetylation;DNA binding;DNA damage response;nucleus"	chromosome organization;DNA repair;DNA topological change;protein acetylation;protein deacetylation;DNA binding;cellular response to DNA damage stimulus;chromosome organization;nucleus	ACTL6A;KAT5;EPC1;DMAP1;MORF4L1;RUVBL2;RUVBL1;TRRAP;
DDB complex	DNA repair;DNA binding;DNA damage response	DNA repair;DNA binding;cellular response to DNA damage stimulus	DDB1;DDB2;
"SNARE complex (Vamp2, Snap25, Stx1a, Cplx1)"	regulator of receptor activity;vesicle fusion;synaptic vesicle exocytosis;receptor binding	receptor regulator activity;vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis;receptor binding	STX1A;SNAP25;CPLX1;VAMP2;
"SNARE complex (Stx1a, Snap25, Cplx2, Vamp2)"	regulator of receptor activity;vesicle fusion;synaptic vesicle exocytosis;receptor binding	receptor regulator activity;vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis;receptor binding	STX1A;SNAP25;VAMP2;CPLX2;
"SNARE complex (VAMP2, SNAP25, STX1a, CPLX1)"	regulator of receptor activity;vesicle fusion;synaptic vesicle exocytosis;receptor binding	receptor regulator activity;vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis;receptor binding	CPLX1;SNAP25;VAMP2;STX1A;
"SNARE complex (VAMP2, SNAP25, STX1a, CPLX2)"	regulator of receptor activity;vesicle fusion;synaptic vesicle exocytosis;receptor binding	receptor regulator activity;vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis;receptor binding	SNAP25;VAMP2;STX1A;CPLX2;
"SNARE complex (STX11, VAMP2, SNAP23)"	protein transport;vesicle fusion;synaptic vesicle exocytosis;endosome	protein transport;protein transporter activity;vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis;endosome	SNAP23;STX11;VAMP2;
NuA4/Tip60-HAT complex A	"phosphate metabolism;organization of chromosome structure;DNA repair;DNA conformation modification (e.g. chromatin);modification by acetylation, deacetylation;DNA binding;DNA damage response;nucleus"	phosphorus utilization;phosphate-containing compound metabolic process;chromosome organization;DNA repair;DNA topological change;protein acetylation;protein deacetylation;DNA binding;cellular response to DNA damage stimulus;chromosome organization;nucleus	YEATS4;ACTL6A;EPC2;KAT5;EP400;BRD8;EPC1;MEAF6;DMAP1;MRGBP;ING3;MORF4L1;RUVBL2;RUVBL1;TRRAP;
DMAP1-associated complex	phosphate metabolism;organization of chromosome structure;DNA repair;DNA conformation modification (e.g. chromatin);nucleus	phosphorus utilization;phosphate-containing compound metabolic process;chromosome organization;DNA repair;DNA topological change;chromosome organization;nucleus	ACTL6A;VPS72;SRCAP;EP400;BRD8;EPC1;DMAP1;RUVBL2;RUVBL1;TRRAP;
DNMT1-HDAC2-DMAP1 complex	DNA methylation;transcription repression;RNA synthesis;nucleus	"DNA methylation;negative regulation of transcription, DNA-templated;RNA biosynthetic process;nucleus"	DNMT1;HDAC2;DMAP1;
"SNARE complex (STX2, SNAP23)"	vesicle fusion;synaptic vesicle exocytosis	vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis	SNAP23;STX2;
Cdc42-Par6b-Par3-Prkci complex	small GTPase mediated signal transduction;directional cell growth (morphogenesis);asymmetries and axis determination;intercellular junction (gap junction/adherens junction);cell junction	small GTPase mediated signal transduction;anisotropic cell growth;axis specification;cell-cell junction assembly;cell junction	CDC42;PRKCI;PARD3;PARD6B;
BRG1-SIN3A-HDAC containing SWI/SNF remodeling complex I	"DNA conformation modification (e.g. chromatin);transcriptional control;modification by acetylation, deacetylation;posttranslational modification of amino acids (e.g. hydroxylation, methylation);DNA binding;organization of chromosome structure;nucleus"	"DNA topological change;regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;protein acetylation;protein deacetylation;protein hydroxylation;protein methylation;DNA binding;chromosome organization;nucleus"	ARID1A;PRMT5;ACTL6A;SMARCA4;SMARCB1;SMARCC2;HDAC2;SMARCC1;SMARCE1;SMARCD1;SIN3A;
CDC42-Par6c-Par3-Prkcz complex	small GTPase mediated signal transduction;directional cell growth (morphogenesis);asymmetries and axis determination;intercellular junction (gap junction/adherens junction);cell junction	small GTPase mediated signal transduction;anisotropic cell growth;axis specification;cell-cell junction assembly;cell junction	CDC42;PRKCZ;PARD3;PARD6A;
"SNARE complex (STX4, SNAP23)"	vesicle fusion;synaptic vesicle exocytosis	vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis	SNAP23;STX4;
BRM-SIN3A-HDAC complex	"DNA conformation modification (e.g. chromatin);transcriptional control;modification by acetylation, deacetylation;posttranslational modification of amino acids (e.g. hydroxylation, methylation);organization of chromosome structure;nucleus"	"DNA topological change;regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;protein acetylation;protein deacetylation;protein hydroxylation;protein methylation;chromosome organization;nucleus"	ARID1A;PRMT5;ACTL6A;SMARCA2;SMARCB1;SMARCC2;HDAC2;SMARCC1;SMARCD2;SMARCE1;SMARCD1;SIN3A;
BRM-associated complex	"DNA conformation modification (e.g. chromatin);transcriptional control;posttranslational modification of amino acids (e.g. hydroxylation, methylation);DNA binding;organization of chromosome structure;nucleus"	"DNA topological change;regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;protein hydroxylation;protein methylation;DNA binding;chromosome organization;nucleus"	ARID1A;PRMT5;ACTL6A;SMARCA2;SMARCB1;SMARCC2;SMARCC1;SMARCD2;SMARCE1;SMARCD1;
eRF1-eRF3-GTP-Mg(2+) complex	translation termination;magnesium binding;GTP binding;small GTPase mediated signal transduction;cytoplasm	translational termination;magnesium ion binding;GTP binding;small GTPase mediated signal transduction;cytoplasm	GSPT1;ETF1;
FCP1-associated protein complex	"transcription elongation;posttranslational modification of amino acids (e.g. hydroxylation, methylation);nucleus"	"DNA-templated transcription, elongation;protein hydroxylation;protein methylation;nucleus"	PRMT5;POLR2B;GTF2F1;ERH;STK38;WDR77;CTDP1;
"Upf complex (UPF1, UPF2, UPF3a)"	RNA degradation;RNA binding;cytoplasm;nuclear matrix	RNA catabolic process;RNA binding;cytoplasm;nuclear matrix	UPF1;UPF3A;UPF2;
"Upf complex (UPF1, UPF2, UPF3b)"	RNA degradation;RNA binding;cytoplasm;nuclear matrix	RNA catabolic process;RNA binding;cytoplasm;nuclear matrix	UPF1;UPF3B;UPF2;
Postsplicing complex	RNA degradation;RNA binding;nuclear matrix	RNA catabolic process;RNA binding;nuclear matrix	RNPS1;UPF1;UPF3B;UPF3A;UPF2;NXF1;RBM8A;
MRIP-MBS-RHOA complex	assembly of protein complexes;protein binding;enzymatic activity regulation / enzyme regulator	protein complex assembly;protein binding;enzyme regulator activity;regulation of catalytic activity	PPP1R12A;RHOA;MPRIP;
MRIP-RHOA complex	protein binding	protein binding	RHOA;MPRIP;
MRIP-MBS complex	protein binding	protein binding	PPP1R12A;MPRIP;
20S methylosome-SmD complex	"posttranslational modification of amino acids (e.g. hydroxylation, methylation);assembly of protein complexes;cytoplasm"	protein hydroxylation;protein methylation;protein complex assembly;cytoplasm	PRMT5;CLNS1A;SNRPD1;SNRPD3;
"SNARE complex (STX6, SNAP23)"	vesicle fusion;synaptic vesicle exocytosis	vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis	SNAP23;STX6;
Par-3-VE-cadherin-alpha-beta-catenin complex	directional cell growth (morphogenesis);asymmetries and axis determination;intercellular junction (gap junction/adherens junction);cell junction	anisotropic cell growth;axis specification;cell-cell junction assembly;cell junction	CTNNA1;CDH5;CTNNB1;PARD3;
"mRNA decay complex (UPF1, UPF2, UPF3B, DCP2, XRN1, XRN2, EXOSC2, EXOSC4, EXOSC10, PARN)"	RNA degradation;RNA binding;cytoplasm;nucleus	RNA catabolic process;RNA binding;cytoplasm;nucleus	PARN;EXOSC10;EXOSC2;DCP2;XRN1;UPF1;UPF3B;XRN2;UPF2;EXOSC4;
"PAR-3-VE-cadherin complex, endothelial"	directional cell growth (morphogenesis);intercellular junction (gap junction/adherens junction)	anisotropic cell growth;cell-cell junction assembly	CDH5;PARD3;
Anti-SMN protein complex	splicing;assembly of protein complexes;cytoplasm	RNA splicing;protein complex assembly;cytoplasm	GEMIN2;SNRPB;GEMIN4;SMN1; SMN2;DDX20;
JBP1-pICln complex	"posttranslational modification of amino acids (e.g. hydroxylation, methylation);assembly of protein complexes;cytoplasm"	protein hydroxylation;protein methylation;protein complex assembly;cytoplasm	PRMT5;SNRPB;CLNS1A;
PAR-3-VE-cadherin-beta-catenin complex	directional cell growth (morphogenesis);intercellular junction (gap junction/adherens junction);cell junction	anisotropic cell growth;cell-cell junction assembly;cell junction	CDH5;CTNNB1;PARD3;
TROY-NGR-LINGO1 complex	None	None	LINGO1;RTN4R;TNFRSF19;
TRPC1-STIM1-ORAI1 complex	"REGULATION OF METABOLISM AND PROTEIN FUNCTION;cation transport (H+, Na+, K+, Ca2+ , NH4+, etc.);ion channels;homeostasis of metal ions (Na, K, Ca etc.);eukaryotic plasma membrane / membrane attached"	regulation of biological process;cation transmembrane transporter activity;cation transport;ion channel activity;cellular metal ion homeostasis;plasma membrane	TRPC1;ORAI1;CTNND2;
"PAR-6-VE-cadherin complex, endothelial"	directional cell growth (morphogenesis);intercellular junction (gap junction/adherens junction)	anisotropic cell growth;cell-cell junction assembly	CDH5;PARD6A;
Trpc1-Stim1-Orai1 complex	"REGULATION OF METABOLISM AND PROTEIN FUNCTION;cation transport (H+, Na+, K+, Ca2+ , NH4+, etc.);ion channels;homeostasis of metal ions (Na, K, Ca etc.);eukaryotic plasma membrane / membrane attached"	regulation of biological process;cation transmembrane transporter activity;cation transport;ion channel activity;cellular metal ion homeostasis;plasma membrane	STIM1;ORAI1;TRPC1;
"PAR-6-PAR-3-VE-cadherin complex, endothelial"	directional cell growth (morphogenesis);intercellular junction (gap junction/adherens junction)	anisotropic cell growth;cell-cell junction assembly	CDH5;PARD3;PARD6A;
Anti-Sm protein complex	"posttranslational modification of amino acids (e.g. hydroxylation, methylation);cytoplasm"	protein hydroxylation;protein methylation;cytoplasm	PRMT5;GEMIN2;SNRPB;CLNS1A;GEMIN4;SMN1; SMN2;DDX20;
6S methyltransferase complex	assembly of protein complexes;protein binding;cytoplasm	protein complex assembly;protein binding;cytoplasm	CLNS1A;SNRPD1;SNRPD3;
20S methylosome and RG-containing Sm protein complex	"splicing;posttranslational modification of amino acids (e.g. hydroxylation, methylation);cytoplasm"	RNA splicing;protein hydroxylation;protein methylation;cytoplasm	PRMT5;SNRPB;CLNS1A;SNRPD1;SNRPD2;SNRPD3;
6S methyltransferase and RG-containing Sm proteins complex	splicing;cytoplasm	RNA splicing;cytoplasm	SNRPB;CLNS1A;SNRPE;SNRPF;SNRPG;SNRPD1;SNRPD2;SNRPD3;
20S methyltransferase core complex	"posttranslational modification of amino acids (e.g. hydroxylation, methylation);assembly of protein complexes;protein binding;cytoplasm"	protein hydroxylation;protein methylation;protein complex assembly;protein binding;cytoplasm	PRMT5;CLNS1A;
MEP50-PRMT5-ICLN complex	"posttranslational modification of amino acids (e.g. hydroxylation, methylation);assembly of protein complexes;protein binding;cytoplasm"	protein hydroxylation;protein methylation;protein complex assembly;protein binding;cytoplasm	PRMT5;CLNS1A;WDR77;
p27-Cdk2-Fgf2 complex	"modification by phosphorylation, dephosphorylation, autophosphorylation"	protein phosphorylation;protein dephosphorylation;protein autophosphorylation	CDK2;FGF2;CDKN1B;
LIN9-BMYB complex	mitotic cell cycle;mitotic cell cycle and cell cycle control	mitotic cell cycle;regulation of cell cycle	MYBL2;LIN9;
Disc1-Grb2-Kif5a complex	"protein targeting, sorting and translocation;protein transport;cellular signalling;animal specific systemic sensing and response;guidance of longitudinal cell extension (e.g. pollen tube guidance, axonal pathfinding)"	intracellular protein transport;protein targeting;protein transport;signaling;response to stimulus;pollen tube guidance	GRB2;KIF5A;DISC1;
"SNARE complex (Stx3, Snap25, Vamp2, Cplx1)"	vesicle fusion;synaptic vesicle exocytosis	vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis	SNAP25;CPLX1;VAMP2;STX3;
"SNARE complex (STX1A, SNAP25, VAMP2)"	vesicle fusion;synaptic vesicle exocytosis	vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis	STX1A;VAMP2;SNAP25;
PCI-PSA-SCG2 complex	REGULATION OF METABOLISM AND PROTEIN FUNCTION	regulation of biological process	SERPINA5;KLK3;SCG2;
"RICH1/AMOT polarity complex, Flag-Rich1 precipitated"	regulation by localization;GTPase activator (GAP);G-protein coupled receptor signalling pathway;directional cell growth (morphogenesis);asymmetries and axis determination;intercellular junction (gap junction/adherens junction);cell junction	protein localization;GTPase activator activity;positive regulation of GTPase activity;G-protein coupled receptor signaling pathway;anisotropic cell growth;axis specification;cell-cell junction assembly;cell junction	CAPZB;CAPZA1;AMOT;ARHGAP17;MPP5;PATJ;SH3KBP1;CD2AP;
RICH1-PAR3-aPKC polarity complex	regulation by localization;GTPase activator (GAP);G-protein coupled receptor signalling pathway;directional cell growth (morphogenesis);intercellular junction (gap junction/adherens junction);cell junction	protein localization;GTPase activator activity;positive regulation of GTPase activity;G-protein coupled receptor signaling pathway;anisotropic cell growth;cell-cell junction assembly;cell junction	PRKCI;ARHGAP17;PARD3;
"RICH1/AMOT polarity complex, Flag-Amot precipitated"	regulation by localization;GTPase activator (GAP);G-protein coupled receptor signalling pathway;directional cell growth (morphogenesis);asymmetries and axis determination;intercellular junction (gap junction/adherens junction);cell junction	protein localization;GTPase activator activity;positive regulation of GTPase activity;G-protein coupled receptor signaling pathway;anisotropic cell growth;axis specification;cell-cell junction assembly;cell junction	MPDZ;AMOT;MPP7;ARHGAP17;AMOTL1;MPP5;PATJ;AMOTL2;
"SNARE complex (Stx2, Snap25, Vamp2)"	vesicle fusion;synaptic vesicle exocytosis	vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis	STX2;SNAP25;VAMP2;
"SNARE complex (Stx3, Snap25, Vamp2)"	vesicle fusion;synaptic vesicle exocytosis	vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis	SNAP25;VAMP2;STX3;
"SNARE complex (Stx4, Snap25, Vamp2)"	vesicle fusion;synaptic vesicle exocytosis	vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis	SNAP25;VAMP2;STX4;
"SNARE complex (Stx1a, Snap25, Vamp8)"	vesicle fusion;synaptic vesicle exocytosis	vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis	STX1A;SNAP25;VAMP8;
"SNARE complex (Stx2, Snap25, Vamp8)"	vesicle fusion;synaptic vesicle exocytosis	vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis	STX2;SNAP25;VAMP8;
"SNARE complex (Stx3, Snap25, Vamp8)"	vesicle fusion;synaptic vesicle exocytosis	vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis	SNAP25;STX3;VAMP8;
"SNARE complex (Stx4, Snap25, Vamp8)"	vesicle fusion;synaptic vesicle exocytosis	vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis	SNAP25;STX4;VAMP8;
CRB3-PALS1-PATJ cell polarity complex	directional cell growth (morphogenesis);asymmetries and axis determination;intercellular junction (gap junction/adherens junction);cell junction	anisotropic cell growth;axis specification;cell-cell junction assembly;cell junction	PATJ;CRB3;MPP5;
"SNARE complex (Stx4, Stx6, Stx7, Vamp3, Vamp7, Vamp8, Vti1b)"	vesicle fusion;synaptic vesicle exocytosis	vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis	VAMP8;STX7;VTI1B;VAMP3;VAMP7;STX4;STX6;
DNMT1-G9a-PCNA complex	"DNA synthesis and replication;DNA methylation;posttranslational modification of amino acids (e.g. hydroxylation, methylation);organization of chromosome structure;nucleus"	DNA replication;DNA methylation;protein hydroxylation;protein methylation;chromosome organization;nucleus	PCNA;DNMT1;EHMT2;
Par-3-p75NTR complex	neurogenesis;intercellular junction (gap junction/adherens junction);neuron;nervous system;intercellular junction (gap junction/adherens junction)	neurogenesis;generation of neurons;cell-cell junction organization;cell-cell junction assembly;neuron differentiation;nervous system development;cell-cell junction;myelination	PARD3;NGFR;
DNMT1-G9a complex	"DNA synthesis and replication;DNA methylation;S phase of mitotic cell cycle;posttranslational modification of amino acids (e.g. hydroxylation, methylation);organization of chromosome structure;nucleus"	DNA replication;DNA methylation;mitotic S phase;protein hydroxylation;protein methylation;chromosome organization;nucleus	DNMT1;EHMT2;
Srf-Myocd-Msx1 complex	transcriptional control	"regulation of RNA biosynthetic process;regulation of transcription, DNA-templated"	MYOCD;SRF;MSX1;
Srf-Myocd-Msx2 complex	transcriptional control	"regulation of RNA biosynthetic process;regulation of transcription, DNA-templated"	MSX2;MYOCD;SRF;
TRAP-SMCC mediator complex	transcription activation;protein binding;regulation by binding / dissociation;regulator of transcription factor;nucleus	"positive regulation of transcription, DNA-templated;protein binding;regulation of binding;regulation of sequence-specific DNA binding transcription factor activity;nucleus"	MED19;MED22;MED1;MED25;MED8;MED18;MED4;MED17;MED29;MED11;
aPKC-PAR-6-PAR-3 cell polarity complex	directional cell growth (morphogenesis);asymmetries and axis determination;intercellular junction (gap junction/adherens junction);cell junction	anisotropic cell growth;axis specification;cell-cell junction assembly;cell junction	PRKCI;PARD3;PARD6B;
BRAF53-BRCA2 complex	"DNA repair;DNA conformation modification (e.g. chromatin);mitotic cell cycle;transcription repression;modification by acetylation, deacetylation;DNA binding;organization of chromosome structure;neuron;nucleus"	"DNA repair;DNA topological change;mitotic cell cycle;negative regulation of transcription, DNA-templated;protein acetylation;protein deacetylation;DNA binding;chromosome organization;neuron differentiation;nucleus"	KDM1A;BRCA2;HDAC1;HDAC2;PHF21A;HMG20B;RCOR1;
"SNARE complex (Stx1a, Snap29)"	vesicle fusion;synaptic vesicle exocytosis	vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis	STX1A;SNAP29;
"SNARE complex (STX1A, SNAP29)"	vesicle fusion;synaptic vesicle exocytosis	vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis	SNAP29;STX1A;
"SNARE complex (VAMP3, VAMP4, VAMP8, STX6)"	vesicle fusion;synaptic vesicle exocytosis	vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis	STX6;VAMP4;VAMP3;VAMP8;
"SNARE complex (VAMP3, VAMP4, STX16)"	vesicle fusion;synaptic vesicle exocytosis	vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis	STX16;VAMP4;VAMP3;
"SNARE complex (VAMP3, STX6, VTI1A)"	vesicle fusion;synaptic vesicle exocytosis	vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis	STX6;VAMP3;VTI1A;
"SNARE complex (VAMP4, STX6, STX16, VTI1a, VTI1b)"	vesicle fusion;synaptic vesicle exocytosis	vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis	STX16;STX6;VAMP4;VTI1A;VTI1B;
PKA (RII-alpha and RII-beta)-AKAP5-ADRB1 complex	G-protein coupled receptor signalling pathway	G-protein coupled receptor signaling pathway;receptor recycling;protein kinase A signaling	ADRB1;PRKAR2A;AKAP5;PRKAR2B;
"SNARE complex (Vamp4, Stx6, Stx16, Vti1b)"	vesicle formation;vesicle recycling;retrograde transport;synaptic vesicle exocytosis	"membrane budding;vesicle organization;synaptic vesicle recycling;retrograde transport, vesicle recycling within Golgi;synaptic vesicle transport;synaptic vesicle exocytosis"	STX16;VAMP4;VTI1B;STX6;
"SNARE complex (Vamp4, Stx6, Stx16, Vti1a)"	vesicle formation;vesicle recycling;retrograde transport	"membrane budding;vesicle organization;synaptic vesicle recycling;retrograde transport, vesicle recycling within Golgi"	STX16;VAMP4;STX6;VTI1A;
PAR-6-aPKC-PAR-3 complex	intercellular junction (gap junction/adherens junction);cell junction	cell-cell junction assembly;cell junction;polarized epithelial cell differentiation	PRKCI;PARD3;PARD6A;
PAR-6-aPKC-PAR-3-Cdc42-Rac1 complex	small GTPase mediated signal transduction;intercellular junction (gap junction/adherens junction);cell junction	small GTPase mediated signal transduction;cell-cell junction assembly;cell junction	CDC42;RAC1;PRKCI;PARD3;PARD6A;
GluR1-cadherin-catenin complex	nervous system	nervous system development;regulation of synaptic plasticity	GRIA1;CTNNB1;CDH2;
Glur4-cadherin-catenin complex	nervous system	nervous system development;regulation of synaptic plasticity	GRIA4;CTNNB1;CDH2;
MTA1 complex	"DNA conformation modification (e.g. chromatin);transcription repression;modification by acetylation, deacetylation;hormone mediated signal transduction;cellular signalling;organization of chromosome structure;nucleus"	"DNA topological change;negative regulation of transcription, DNA-templated;protein acetylation;protein deacetylation;hormone-mediated signaling pathway;signaling;chromosome organization;nucleus"	MBD3;RBBP4;MTA1;RBBP7;HDAC1;HDAC2;
Glur2-Glur4-Plp-Itgav complex	neuropeptide signalling pathway	neuropeptide signaling pathway	GRIA2;GRIA4;ITGAV;PLP1;INTEGRIN A;
MTA2 complex	DNA conformation modification (e.g. chromatin);transcription repression;RNA synthesis;organization of chromosome structure;nucleus	"DNA topological change;negative regulation of transcription, DNA-templated;RNA biosynthetic process;chromosome organization;nucleus;histone deacetylation"	MTA2;MBD3;RBBP4;HDAC1;CHD4;RBBP7;HDAC2;SIN3A;
MTA1-HDAC core complex	"DNA conformation modification (e.g. chromatin);transcription repression;modification by acetylation, deacetylation;hormone mediated signal transduction;cellular signalling;organization of chromosome structure;nucleus"	"DNA topological change;negative regulation of transcription, DNA-templated;protein acetylation;protein deacetylation;hormone-mediated signaling pathway;signaling;chromosome organization;nucleus"	RBBP4;MTA1;RBBP7;HDAC1;HDAC2;
PAR-3-PKCz-Tiam2 complex	directional cell growth (morphogenesis);neurogenesis;asymmetries and axis determination;neuron	anisotropic cell growth;neurogenesis;generation of neurons;axis specification;neuron differentiation	PRKCZ;TIAM2;PARD3;
PAR-3-aPKC-Tiam2 complex	directional cell growth (morphogenesis);neurogenesis;asymmetries and axis determination;neuron	anisotropic cell growth;neurogenesis;generation of neurons;axis specification;neuron differentiation	PRKCI;TIAM2;PARD3;
PAR-3-aPKC-Tiam1 complex	directional cell growth (morphogenesis);neurogenesis;asymmetries and axis determination;neuron	anisotropic cell growth;neurogenesis;generation of neurons;axis specification;neuron differentiation	TIAM1;PRKCI;PARD3;
Tiam2-PAR-3-aPKC-PAR-6-Cdc42-GTP complex	small GTPase mediated signal transduction;directional cell growth (morphogenesis);neurogenesis;asymmetries and axis determination;neuron	small GTPase mediated signal transduction;anisotropic cell growth;neurogenesis;generation of neurons;axis specification;neuron differentiation	;PARD6A;TIAM2;CDC42;PARD3;
"hMediator complex (MED23, CDK8, CCNC, MED7)"	transcription activation;regulation by binding / dissociation;protein binding;regulator of transcription factor;nucleus	"positive regulation of transcription, DNA-templated;regulation of binding;protein binding;regulation of sequence-specific DNA binding transcription factor activity;nucleus"	MED7;CCNC;CDK8;MED23;
"hMediator complex (MED23, CDK8, CCNC)"	transcription activation;regulation by binding / dissociation;protein binding;regulator of transcription factor;nucleus	"positive regulation of transcription, DNA-templated;regulation of binding;protein binding;regulation of sequence-specific DNA binding transcription factor activity;nucleus"	CCNC;CDK8;MED23;
CDK8-CyclinC-Mediator complex	"transcription repression;modification by phosphorylation, dephosphorylation, autophosphorylation;protein modification;REGULATION OF METABOLISM AND PROTEIN FUNCTION;nucleus"	"negative regulation of transcription, DNA-templated;protein phosphorylation;protein dephosphorylation;protein autophosphorylation;cellular protein modification process;regulation of biological process;nucleus"	CCNC;CDK8;
Par-3-KIF3A-PKC-zeta complex	cytoskeleton-dependent transport;directional cell growth (morphogenesis);neurogenesis;asymmetries and axis determination;neuron	cytoskeleton-dependent intracellular transport;anisotropic cell growth;neurogenesis;generation of neurons;axis specification;neuron differentiation	PRKCZ;KIF3A;PARD3;
